Country,1991 Total Trade,1991 Imports,1991 Exports,1991 Balance of Trade,1992 Total Trade,1992 Imports,1992 Exports,1992 Balance of Trade,1993 Total Trade,1993 Imports,1993 Exports,1993 Balance of Trade,1994 Total Trade,1994 Imports,1994 Exports,1994 Balance of Trade,1995 Total Trade,1995 Imports,1995 Exports,1995 Balance of Trade,1996 Total Trade,1996 Imports,1996 Exports,1996 Balance of Trade,1997 Total Trade,1997 Imports,1997 Exports,1997 Balance of Trade,1998 Total Trade,1998 Imports,1998 Exports,1998 Balance of Trade,1999 Total Trade,1999 Imports,1999 Exports,1999 Balance of Trade,2000 Total Trade,2000 Imports,2000 Exports,2000 Balance of Trade,2001 Total Trade,2001 Imports,2001 Exports,2001 Balance of Trade,2002 Total Trade,2002 Imports,2002 Exports,2002 Balance of Trade,2003 Total Trade,2003 Imports,2003 Exports,2003 Balance of Trade,2004 Total Trade,2004 Imports,2004 Exports,2004 Balance of Trade,2005 Total Trade,2005 Imports,2005 Exports,2005 Balance of Trade,2006 Total Trade,2006 Imports,2006 Exports,2006 Balance of Trade,2007 Total Trade,2007 Imports,2007 Exports,2007 Balance of Trade,2008 Total Trade,2008 Imports,2008 Exports,2008 Balance of Trade,2009 Total Trade,2009 Imports,2009 Exports,2009 Balance of Trade,2010 Total Trade,2010 Imports,2010 Exports,2010 Balance of Trade,2011 Total Trade,2011 Imports,2011 Exports,2011 Balance of Trade,2012 Total Trade,2012 Imports,2012 Exports,2012 Balance of Trade,2013 Total Trade,2013 Imports,2013 Exports,2013 Balance of Trade,2014 Total Trade,2014 Imports,2014 Exports,2014 Balance of Trade,2015 Total Trade,2015 Imports,2015 Exports,2015 Balance of Trade,2016 Total Trade,2016 Imports,2016 Exports,2016 Balance of Trade,2017 Total Trade,2017 Imports,2017 Exports,2017 Balance of Trade,2018 Total Trade,2018 Imports,2018 Exports,2018 Balance of Trade,2019 Total Trade,2019 Imports,2019 Exports,2019 Balance of Trade,2020 Total Trade,2020 Imports,2020 Exports,2020 Balance of Trade,2021 Total Trade,2021 Imports,2021 Exports,2021 Balance of Trade,2022 Total Trade,2022 Imports,2022 Exports,2022 Balance of Trade,2023 Total Trade,2023 Imports,2023 Exports,2023 Balance of Trade,2024 Total Trade,2024 Imports,2024 Exports,2024 Balance of Trade,2025R Total Trade,2025R Imports,2025R Exports,2025R Balance of Trade,2026P Total Trade,2026P Imports,2026P Exports,2026P Balance of Trade
Uk of Great Britain And N. Ireland,586571821,214930022,371641799,156711777,766565776,299808162,466757614,166949452,919561460,379056033,540505427,161449394,1027648167,389025318,638622849,249597531,1472236024,549050580,923185444,374134864,1415598983,479121635,936477348,457355713,1630614125,544641337,1085972788,541331451,2084185969,327312960,1756873009,1429560049,2106605582,340233506,1766372076,1426138570,1873917598,367607537,1506310061,1138702524,1459556053,462291836,997264217,534972381,1429742697,483469468,946273229,462803761,1174168502,478904655,695263847,216359192,1003308519,448556583,554751936,106195353,829689578,392880060,436809518,43929458,850123539,366023585,484099954,118076369,830054934,351068377,478986557,127918180,804889188,322105069,482784119,160679050,530192759,233489932,296702827,63212895,679528470,284583657,394944813,110361156,687979674,287088584,400891090,113802506,927908316,271325491,656582825,385257334,879250673,301489321,577761352,276272031,846348255,385618919,460729336,75110417,898249611,398660768,499588843,100928075,1010237148,509181578,501055570,-8126008,1043814223,521605509,522208714,603205,1219995518,685102785,534892733,-150210052,1312755538,806718096,506037442,-300680654,968229582,554393493,413836089,-140557404,1069459573,593765627,475693946,-118071681,1347894776,785637359,562257417,-223379942,1303675085,791450438,512224647,-279225791,1175387448,626534012,548853436,-77680576,1149994717,612739148,537255569,-75483579,393567481,207464184,186103297,-21360887
United States of America,5490235182,2424614479,3065620703,641006224,6331823404,2619030368,3712793036,1093762668,7738580101,3507857950,4230722151,722864201,8903643537,3937759425,4965884112,1028124687,11015385537,5012346620,6003038917,990692297,13016788997,6361153745,6655635252,294481507,15483119904,7153083138,8330036766,1176953628,15930931904,6557256735,9373675169,2816418434,16097032237,6360744369,9736287868,3375543499,17654870714,6410031978,11244838736,4834806758,15253229756,6409891917,8843337839,2433445922,17911752958,9341611328,8570141630,-771469698,16221350374,8987961272,7233389102,-1754572170,14992114172,8269319511,6722794661,-1546524850,16477632855,9094162028,7383470827,-1710691201,17091472413,8436311353,8655161060,218849707,16381886437,7835081376,8546805061,711723685,15365850137,7220253779,8145596358,925342579,11853792870,5112900323,6740892547,1627992224,13379540533,5886333237,7493207296,1606874059,13625073785,6535529368,7089544417,554015049,14532062603,7123674503,7408388100,284713597,15338092167,7019911264,8318180903,1298269639,14391319783,5738107296,8653212487,2915105191,16484398948,7467912184,9016486764,1548574580,16423377584,7575879529,8847498055,1271618526,17441890424,7783675829,9658214595,1874538766,18696392329,8062104973,10634287356,2572182383,19636812848,8072190462,11564622386,3492431924,16939151214,6921674949,10017476265,3095801316,19602796997,7751237308,11851559689,4100322381,21988375265,8916577413,13071797852,4155220439,19965089338,8417986514,11547102824,3129116310,20310977889,8167116406,12143861483,3976745077,21613900246,8152794182,13461106064,5308311882,8183919773,2875888952,5308030821,2432141869
Alaska,745213,697276,47937,-649339,12114,0,12114,12114,14246667,14159300,87367,-14071933,2616483,2607524,8959,-2598565,1095567,1038569,56998,-981571,35992493,536162,35456331,34920169,312722079,26241,312695838,312669597,654923757,2431038,652492719,650061681,633433483,3659183,629774300,626115117,66850040,665443,66184597,65519154,50680135,122738,50557397,50434659,50017110,3710876,46306234,42595358,7896794,152899,7743895,7590996,343774475,41745,343732730,343690985,13069339,1239436,11829903,10590467,20305421,10030,20295391,20285361,35007975,412,35007563,35007151,49832806,358,49832448,49832090,37070988,31,37070957,37070926,54358987,54515,54304472,54249957,221520,136198,85322,-50876,139680,512,139168,138656,543740,365046,178694,-186352,365607,96118,269489,173371,509631,64918,444713,379795,508492,36271,472221,435950,20475,0,20475,20475,13923,0,13923,13923,1910,0,1910,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,168507,168507,0,-168507,222710,222710,0,-222710,284395,284395,0,-284395,184860,1756,183104,181348,774474,619194,155280,-463914,1102171,993386,108785,-884601,4086303,3827707,258596,-3569111,852894,852894,0,-852894,943563,411958,531605,119647,1892398,229885,1662513,1432628,303897,0,303897,303897,243326,30116,213210,183094,599575,0,599575,599575,975301,50,975251,975201,1075763,360997,714766,353769,3911,0,3911,3911,33216,0,33216,33216,214224,0,214224,214224,799820,378860,420960,42100,1663744,1455230,208514,-1246716,684228,0,684228,684228,1179387,22923,1156464,1133541,1840297,853740,986557,132817,1185565,576216,609349,33133,4034415,1420640,2613775,1193135,4150695,2558523,1592172,-966351,5177361,3748604,1428757,-2319847,5366484,3960872,1405612,-2555260,12950537,9175040,3775497,-5399543,9689344,5230593,4458751,-771842,3729300,1883174,1846126,-37048,2250914,1803418,447496,-1355922,161113,150000,11113,-138887
Guam,17759407,1472183,16287224,14815041,16872664,743939,16128725,15384786,16985345,3753029,13232316,9479287,17764314,1952655,15811659,13859004,19815288,2836413,16978875,14142462,17814060,1121161,16692899,15571738,20061424,4533139,15528285,10995146,14967344,1141059,13826285,12685226,14781037,1085873,13695164,12609291,17395922,1399971,15995951,14595980,13387842,878730,12509112,11630382,14647491,1586823,13060668,11473845,17503073,722145,16780928,16058783,28924022,1631050,27292972,25661922,20390738,935105,19455633,18520528,15050315,364800,14685515,14320715,16620437,1052664,15567773,14515109,41710129,20305766,21404363,1098597,12545404,1396850,11148554,9751704,14754033,697549,14056484,13358935,15068837,581771,14487066,13905295,13281732,1140869,12140863,10999994,14968755,1962714,13006041,11043327,19992137,1059126,18933011,17873885,17657432,1283802,16373630,15089828,21128269,3881637,17246632,13364995,15661788,2015983,13645805,11629822,12850144,1664166,11185978,9521812,14808707,1815034,12993673,11178639,13772169,1056173,12715996,11659823,17699825,2473910,15225915,12752005,19877734,3080336,16797398,13717062,24043572,1315756,22727816,21412060,22991400,960686,22030714,21070028,31488206,401808,31086398,30684590,12913636,107788,12805848,12698060
"U.S. Oceania, N.E.S.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88118,52833,35285,-17548,314698,191031,123667,-67364,3426,0,3426,3426,374503,0,374503,374503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,650,650,9093,0,9093,9093,0,0,0,0,299,0,299,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Minor Outlying Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198353,0,198353,198353,378593,364377,14216,-350161,23875,0,23875,23875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33142,0,33142,33142,61363,0,61363,61363,74751,0,74751,74751,658705,0,658705,658705,330600,0,330600,330600,525804,11668,514136,502468,154806,15608,139198,123590,154441,146027,8414,-137613,167660,58791,108869,50078,193737,388,193349,192961,744674,235284,509390,274106,408021,7260,400761,393501,7509943,15037,7494906,7479869,992602,69769,922833,853064,271349,92455,178894,86439,999478,890290,109188,-781102,111454,28222,83232,55010
Hawaii,78950449,966493,77983956,77017463,119883916,1173689,118710227,117536538,140600033,250138,140349895,140099757,178277446,910085,177367361,176457276,157466419,907498,156558921,155651423,275150326,628885,274521441,273892556,172766742,897569,171869173,170971604,72202873,511223,71691650,71180427,80147315,745412,79401903,78656491,54807468,516725,54290743,53774018,86125268,701656,85423612,84721956,67443195,548362,66894833,66346471,22596394,779593,21816801,21037208,22201512,873670,21327842,20454172,23184078,855416,22328662,21473246,14716672,641419,14075253,13433834,12420528,382764,12037764,11655000,12731980,1031586,11700394,10668808,10867028,204881,10662147,10457266,11861469,267827,11593642,11325815,12877474,598665,12278809,11680144,9176481,262370,8914111,8651741,5675203,203483,5471720,5268237,7432560,136583,7295977,7159394,5623495,41412,5582083,5540671,3362094,2715,3359379,3356664,2793729,0,2793729,2793729,1562077,0,1562077,1562077,2106117,0,2106117,2106117,396609,0,396609,396609,164569,0,164569,164569,212268,0,212268,212268,463589,0,463589,463589,648756,0,648756,648756,205748,0,205748,205748,0,0,0,0
Vatican City State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3142,3142,0,-3142,0,0,0,0,0,0,0,0,1545,0,1545,1545,110772,0,110772,110772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9414,9414,0,-9414,8442,8442,0,-8442,0,0,0,0,0,0,0,0,9968,0,9968,9968,1291,998,293,-705,858,858,0,-858,533,533,0,-533,11153,11153,0,-11153,753,753,0,-753,230,230,0,-230
Virgin Islands (U.S.),1499136,0,1499136,1499136,2709372,0,2709372,2709372,1536777,0,1536777,1536777,962063,92643,869420,776777,5193505,69504,5124001,5054497,2535460,60408,2475052,2414644,1766223,3937,1762286,1758349,1855820,5887,1849933,1844046,371442,481,370961,370480,1131153,2312,1128841,1126529,1377538,0,1377538,1377538,977286,55088,922198,867110,1924234,845972,1078262,232290,111647716,10766,111636950,111626184,17703298,14835,17688463,17673628,104926,4351,100575,96224,412528,84386,328142,243756,109401,102332,7069,-95263,135330,8315,127015,118700,28799,3264,25535,22271,76339,873,75466,74593,86429,2299,84130,81831,1995208,800988,1194220,393232,5778823,4507950,1270873,-3237077,227673,108115,119558,11443,887491,15362,872129,856767,489205,57646,431559,373913,462173,132953,329220,196267,1418514,197820,1220694,1022874,600098,8498,591600,583102,2060256,3559,2056697,2053138,6595671,13384,6582287,6568903,1845608,72683,1772925,1700242,871593,1055,870538,869483,323978,53576,270402,216826,955,318,637,319
Burkina Faso (Upper Volta),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150336,0,150336,150336,2635090,2627809,7281,-2620528,51351,49848,1503,-48345,804611,772020,32591,-739429,15536,0,15536,15536,144939,0,144939,144939,302936,280283,22653,-257630,358113,209283,148830,-60453,322,0,322,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616673,554548,62125,-492423,85689,49038,36651,-12387,135304,66171,69133,2962,6125,0,6125,6125,279033,203252,75781,-127471,28875,0,28875,28875,21769,2213,19556,17343,97019,2806,94213,91407,148309,697,147612,146915,43753,300,43453,43153,55126,3640,51486,47846,133606,42831,90775,47944,56843,6148,50695,44547,111904,47340,64564,17224,519534,726,518808,518082,240084,1307,238777,237470,21565,0,21565,21565
Uruguay,908547,584199,324348,-259851,1372288,721919,650369,-71550,1431738,471272,960466,489194,1297226,356233,940993,584760,2442426,876376,1566050,689674,2188597,251668,1936929,1685261,4983765,247353,4736412,4489059,7233361,4543772,2689589,-1854183,4882681,2947180,1935501,-1011679,4516585,1481205,3035380,1554175,3952334,1534398,2417936,883538,2791097,1418790,1372307,-46483,17584132,16199185,1384947,-14814238,38608419,32556812,6051607,-26505205,37693007,34659615,3033392,-31626223,37665596,35413833,2251763,-33162070,44223138,41762760,2460378,-39302382,43937379,40046021,3891358,-36154663,53094620,48542207,4552413,-43989794,61104612,53976503,7128109,-46848394,65652285,52206370,13445915,-38760455,69655052,55657772,13997280,-41660492,98675014,69966398,28708616,-41257782,100646711,79986026,20660685,-59325341,90237815,77285256,12952559,-64332697,120307719,110567136,9740583,-100826553,83382266,70392615,12989651,-57402964,32925549,16384075,16541474,157399,32005522,20798756,11206766,-9591990,49208562,43423146,5785416,-37637730,21186572,13059712,8126860,-4932852,22824698,13093183,9731515,-3361668,25866510,9811555,16054955,6243400,24626372,12896494,11729878,-1166616,23972298,13068426,10903872,-2164554,11090774,6772462,4318312,-2454150
Venezuela,7371504,3980400,3391104,-589296,4329149,66140,4263009,4196869,3380608,616161,2764447,2148286,13593409,12374227,1219182,-11155045,3476611,1132381,2344230,1211849,2844782,338956,2505826,2166870,2796050,483215,2312835,1829620,14905023,61799,14843224,14781425,4276269,10232,4266037,4255805,6451766,2893713,3558053,664340,6821076,2188140,4632936,2444796,2923262,898012,2025250,1127238,2743560,1133974,1609586,475612,38908863,903501,38005362,37101861,7545907,680378,6865529,6185151,7417944,364836,7053108,6688272,7922939,478953,7443986,6965033,4979983,806924,4173059,3366135,11230357,7368688,3861669,-3507019,6526554,1193985,5332569,4138584,6309919,486879,5823040,5336161,8232563,281137,7951426,7670289,4357615,425859,3931756,3505897,4885484,115013,4770471,4655458,3764737,338694,3426043,3087349,1555478,83368,1472110,1388742,902104,94130,807974,713844,746104,78545,667559,589014,753669,373188,380481,7293,1148379,663830,484549,-179281,808913,471420,337493,-133927,1398193,766684,631509,-135175,3402004,2603141,798863,-1804278,2736166,1062568,1673598,611030,3442915,760715,2682200,1921485,1108891,50160,1058731,1008571
Vietnam,55787590,34582251,21205339,-13376912,42375692,12673326,29702366,17029040,47869080,10495837,37373243,26877406,75278727,12768931,62509796,49740865,161559924,37934155,123625769,85691614,315596276,185605909,129990367,-55615542,358184455,263178322,95006133,-168172189,469630589,375751583,93879006,-281872577,271950583,209349318,62601265,-146748053,231360009,156786196,74573813,-82212383,342471852,280053950,62417902,-217636048,384546422,281584069,102962353,-178621716,448819838,303694799,145125039,-158569760,1122301278,441085094,681216184,240131090,1090037271,778470925,311566346,-466904579,1026938290,672778961,354159329,-318619632,1278833292,842664293,436168999,-406495294,2038272526,1653409259,384863267,-1268545992,1652731215,1287321984,365409231,-921912753,2179758414,1607680653,572077761,-1035602892,1601562298,849421429,752140869,-97280560,1579710077,985532922,594177155,-391355767,1350608614,809749418,540859196,-268890222,1671534486,1295910826,375623660,-920287166,2208308383,1499906070,708402313,-791503757,2720221577,1959266139,760955438,-1198310701,3560099755,2652853277,907246478,-1745606799,4212977112,3250542886,962434226,-2288108660,4911943671,3642308034,1269635637,-2372672397,4434698413,3154037070,1280661343,-1873375727,5835348220,4196428251,1638919969,-2557508282,6189852145,4460605824,1729246321,-2731359503,6403895447,4709004813,1694890634,-3014114179,7126190021,5468543064,1657646957,-3810896107,7169257508,5641538094,1527719414,-4113818680,2424249894,1937484510,486765384,-1450719126
Virgin Islands (British),4237,0,4237,4237,371,0,371,371,385101,0,385101,385101,27520,0,27520,27520,401426,8773,392653,383880,686368,24412,661956,637544,1229179,1067445,161734,-905711,291596,29131,262465,233334,437487,63575,373912,310337,638691,67792,570899,503107,516704,0,516704,516704,412210,111584,300626,189042,1074609,16971,1057638,1040667,1240015,68890,1171125,1102235,847346,13069,834277,821208,769112,730592,38520,-692072,21785220,21685463,99757,-21585706,639213,488112,151101,-337011,355234,212237,142997,-69240,867673,862285,5388,-856897,560434,385797,174637,-211160,318076,137206,180870,43664,551709,362961,188748,-174213,191729,186676,5053,-181623,8794848,1728165,7066683,5338518,18135297,9270205,8865092,-405113,2909657,943115,1966542,1023427,2341938,1888985,452953,-1436032,1184877,425600,759277,333677,146777,81245,65532,-15713,857905,857845,60,-857785,49486,49344,142,-49202,207630,130540,77090,-53450,191591,94535,97056,2521,311287,152240,159047,6807,187303,760,186543,185783
Wake Islands,25396,0,25396,25396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12383,0,12383,12383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1292,1292,0,-1292,13430,13430,0,-13430,1200,0,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30897,30897,0,-30897,0,0,0,0,0,0,0,0,900,0,900,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis And Futuna Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8429,0,8429,8429,0,0,0,0,0,0,0,0,119,0,119,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,49960,9902,40058,30156,62353,62353,0,-62353,31000,0,31000,31000,175,175,0,-175,0,0,0,0,545,545,0,-545,0,0,0,0
Western Portuguese Africa,0,0,0,0,0,0,0,0,2169,0,2169,2169,28000,28000,0,-28000,11751,59,11692,11633,0,0,0,0,0,0,0,0,0,0,0,0,118269,118269,0,-118269,0,0,0,0,0,0,0,0,80620,80620,0,-80620,213895,213895,0,-213895,0,0,0,0,0,0,0,0,40000,0,40000,40000,0,0,0,0,0,0,0,0,4354,0,4354,4354,0,0,0,0,1218,0,1218,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara (Spanish Sahara),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40260,0,40260,40260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,0,-75,0,0,0,0,93,0,93,93,333438,0,333438,333438,98,98,0,-98,5400,5400,0,-5400,0,0,0,0,0,0,0,0
Samoa (Western Samoa),61322,0,61322,61322,35705,0,35705,35705,15782,0,15782,15782,1727,451,1276,825,161366,0,161366,161366,19967,0,19967,19967,204542,66738,137804,71066,30322,0,30322,30322,1804,0,1804,1804,14472,3259,11213,7954,49272,113,49159,49046,76435,42804,33631,-9173,103334,67614,35720,-31894,828306,6209,822097,815888,993778,0,993778,993778,1653754,0,1653754,1653754,2034136,22793,2011343,1988550,2786458,159,2786299,2786140,466257,0,466257,466257,560793,0,560793,560793,658118,65,658053,657988,807362,5006,802356,797350,1272306,1216,1271090,1269874,1281411,62007,1219404,1157397,706067,583,705484,704901,1453340,104605,1348735,1244130,1642523,763935,878588,114653,1580620,175543,1405077,1229534,2259250,769040,1490210,721170,838163,1557,836606,835049,1488768,109155,1379613,1270458,1847232,16579,1830653,1814074,2747360,696294,2051066,1354772,2341352,418784,1922568,1503784,1934827,8709,1926118,1917409,599062,0,599062,599062
Zaire (Democratic Republic of Congo),141364,141364,0,-141364,14564,6264,8300,2036,29740,29740,0,-29740,54917,48417,6500,-41917,38024,31227,6797,-24430,6500,0,6500,6500,31907,31907,0,-31907,0,0,0,0,0,0,0,0,186123,158294,27829,-130465,307828,0,307828,307828,57848,55815,2033,-53782,80572,64407,16165,-48242,1382,0,1382,1382,7236,840,6396,5556,362559,288915,73644,-215271,0,0,0,0,0,0,0,0,65733,65733,0,-65733,0,0,0,0,0,0,0,0,0,0,0,0,65268,0,65268,65268,71,71,0,-71,0,0,0,0,68,68,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,63589,62579,1010,-61569,42653,41483,1170,-40313,283253,228945,54308,-174637,43483,6000,37483,31483,2606515,2586243,20272,-2565971,0,0,0,0,26844,0,26844,26844,15000,0,15000,15000,28584,0,28584,28584,7500,0,7500,7500,99984,0,99984,99984,212131,4194,207937,203743,156187,66587,89600,23013,2382147,2380249,1898,-2378351,864424,864424,0,-864424,27570,0,27570,27570,96250,96250,0,-96250,239305,124730,114575,-10155,5951,0,5951,5951,28804,20698,8106,-12592,1827683,1514566,313117,-1201449,366618,273844,92774,-181070,276892,96917,179975,83058,1409248,1300702,108546,-1192156,3158710,3141259,17451,-3123808,1912343,1272483,639860,-632623,475473,331944,143529,-188415,268295,149596,118699,-30897,299027,0,299027,299027,239157,10961,228196,217235,9366,0,9366,9366,458604,299570,159034,-140536,667947,456438,211509,-244929,4921855,4340724,581131,-3759593,2314479,2181809,132670,-2049139,1131444,943397,188047,-755350
